BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
16050,Katie Pyles,United States,0.0,W,False,False,False,7.0,42.0,69.0,27.0,0.6593953438200524
16051,Rosemary Washington,United States,0.0,W,False,False,False,2.0,35.0,70.00311958405545,39.0,-0.4481075922413162
16052,Sara Putt,United States,0.0,W,False,False,False,8.0,49.0,70.0,26.0,0.3209064587799998
16055,Fatma Yildrim,Türkiye,0.0,W,False,False,False,1.0,29.0,71.0,32.0,-0.6114044965787484
16057,Jacob McAuley,United States,0.0,M,False,False,False,1.0,34.0,75.096018735363,28.0,-0.5767257417147594
16059,Brooke Kuhlman,United States,0.0,W,False,False,False,1.0,53.5,70.00311958405545,25.0,-0.5676859517906037
16060,Amanda Silva,United States,0.0,W,False,False,False,1.0,39.0,70.00311958405545,28.0,-0.5349103105948579
16064,Tomas Pala,Czech Republic,0.0,M,False,False,False,4.0,40.0,72.0,37.0,-0.20609743451771065
16066,Carla Sousa,Portugal,0.0,W,False,False,False,1.0,30.0,70.00311958405545,31.0,-0.609818568521879
16075,Marin Jercic,Croatia,0.0,M,False,False,False,3.0,32.0,76.0,26.0,-0.3751030639212056
16078,James Donegan,United States,0.0,M,False,False,False,1.0,33.0,75.096018735363,32.0,-0.5358618674289796
16080,Carl Naslund,United States,0.0,M,False,False,False,5.0,62.0,74.0,35.0,0.048074379355674324
16085,Ksenia Ezhak,Russia,0.0,W,False,False,False,2.0,38.0,73.0,33.0,-0.5176767643564326
16088,Jana Sindlerova,Slovakia,0.0,W,False,False,False,1.0,30.0,69.0,46.0,-0.6114044965787484
16089,Elena Petrovicova,Slovakia,0.0,W,False,False,False,1.0,30.0,70.0,49.0,-0.6114044965787484
16091,Dina Becic,Croatia,0.0,W,False,False,False,3.0,27.0,70.0,36.0,-0.5445844717417614
16092,Samanta Fabris,Croatia,0.0,W,False,False,False,1.0,33.0,75.0,30.0,-0.6018889282375318
16095,Race Munger,United States,0.0,M,False,False,False,3.0,38.5,80.0,31.0,-0.3735695895071203
16096,Christopher Gass,United States,0.0,M,False,False,False,1.0,39.0,80.0,36.0,-0.5787874481886897
16097,Justin Beach,United States,0.0,M,False,False,False,2.0,47.0,78.0,43.0,-0.5786288553830028
16099,Chip Elliott,United States,0.0,M,False,False,False,1.0,48.0,73.0,36.0,-0.6050607843512708
16100,Houston Neal,United States,0.0,M,False,False,False,1.0,37.0,75.096018735363,35.0,-0.6050607843512708
16101,Evan Cory,United States,0.14,M,False,False,False,8.0,47.0,75.0,25.0,2.3731461223798185
16102,Spencer McLachlin,United States,0.08,M,False,False,False,5.0,45.0,79.0,34.0,-0.24389435997531989
16103,Ryan D'Amico,United States,0.0,M,False,False,False,1.0,34.0,71.0,35.0,-0.6066467124081402
16104,Ryan Evans,United States,0.0,M,False,False,False,1.0,34.0,76.0,39.0,-0.6066467124081402
16105,John Hamilton,United States,0.04,M,False,False,False,7.0,42.0,75.096018735363,29.0,0.6050504651122152
16106,Matthew Nelson,United States,0.0,M,False,False,False,2.0,43.5,78.0,26.0,-0.5772015201318202
16107,Cameron Keim,United States,0.0,M,False,False,False,1.0,73.0,72.0,25.0,-0.6066467124081402
16108,Brandon Keim,United States,0.0,M,False,False,False,1.0,73.0,68.0,29.0,-0.6066467124081402
16109,Bradley Lawson,United States,0.0,M,False,False,False,3.0,44.0,79.0,33.0,-0.34808921737297394
16110,Bryce Mayer,Virgin Islands,0.0,M,False,False,False,14.0,47.5,74.0,32.0,0.772681828845979
16111,Katie Boudreaux,United States,0.0,W,False,False,False,1.0,45.0,72.0,38.0,-0.6026818922659666
16112,Brittney Gregory,United States,0.0,W,False,False,False,1.0,45.0,71.0,38.0,-0.6026818922659666
16113,Taylor Bradley,United States,0.0,W,False,False,False,4.0,31.0,69.0,24.0,-0.516566614716624
16114,Carly Perales,United States,0.0,W,False,False,False,5.0,39.0,68.0,24.0,-0.4646543136142096
16115,Megan Davenport,United States,0.0,W,False,False,False,2.0,40.0,71.0,26.0,-0.5756155920749508
16116,Rachel Lindelow,United States,0.0,W,False,False,False,1.0,40.0,70.0,35.0,-0.6050607843512708
16117,Nicole Ferguson,United States,0.0,W,False,False,False,1.0,30.0,70.0,35.0,-0.6026818922659666
16118,Kaitlin Green,United States,0.0,W,False,False,False,1.0,30.0,69.0,34.0,-0.6026818922659666
16119,Adrienne Harrison,United States,0.0,W,False,False,False,1.0,45.0,68.0,42.0,-0.6050607843512708
16120,Kekela Steiner,United States,0.0,W,False,False,False,2.0,30.0,68.0,23.0,-0.5762499632976986
16129,Olga Kozhadey,Russia,0.25,W,False,False,False,1.0,34.5,72.0,23.0,-0.5324258952853183
16130,Maria Voronina,Russia,0.32,W,False,False,False,2.0,34.0,66.0,22.0,0.6766788799465928
16135,Anna Dalmazzo,Italy,0.0,W,False,False,False,1.0,40.0,70.00311958405545,37.0,-0.5426813580735181
16136,Lynne Beattie,Scotland,0.0,W,False,False,False,1.0,33.5,71.0,37.0,0.23679612249113252
16137,Will Flynn,United States,0.0,M,False,False,False,1.0,42.0,75.096018735363,32.0,-0.2425719320097057
16138,Andrew Ellis,United States,0.0,M,False,False,False,3.0,62.0,75.096018735363,41.0,-0.5178353571621196
16142,Adam Scates,United States,0.0,M,False,False,False,1.0,28.0,75.096018735363,35.0,-0.5453774357701962
16143,Danny Lee,United States,0.0,M,False,False,False,1.0,41.0,75.096018735363,36.0,-0.5065752679583466
16146,Taylor Nyquist,United States,0.3,W,False,False,False,4.0,43.0,72.0,30.0,0.886606380726657
16150,Kameron Beans,United States,0.0,M,False,False,False,6.0,44.5,75.096018735363,27.0,0.4132593093939173
16151,Bryce Ernsberger,United States,0.0,M,False,False,False,2.0,69.0,76.0,28.0,-0.35971832989223773
16153,Ema Prenc,Croatia,0.0,W,False,False,False,1.0,27.0,69.0,37.0,-0.5913162798379581
16154,Hans Hannibal,Uruguay,0.0,M,False,False,False,2.0,39.0,75.096018735363,26.0,-0.3378862082275582
16155,Josemari Alves,Brazil,0.08,W,False,False,False,5.0,37.5,68.0,43.0,0.795834530660271
16156,Alexandr Prichshepa,Kazakhstan,0.0,M,False,False,False,1.0,27.0,75.096018735363,26.0,-0.5898889445867757
16159,Irena Mishonova,Bulgaria,0.0,W,False,False,False,4.0,32.0,71.0,34.0,-0.12325953630634243
16160,Gabriela Filippo,Paraguay,0.0,W,False,False,False,2.0,39.0,69.0,36.0,-0.3090229335312019
16163,Florian Gosselin,France,0.17,M,False,False,False,5.0,41.0,72.0,35.0,-0.4729011395099306
16165,Marija Milosevic,Serbia,0.0,W,False,False,False,5.0,37.0,72.0,36.0,0.27369579257340604
16166,Alice Gradini,Italy,0.0,W,False,False,False,4.0,36.0,73.0,25.0,-0.3305384855231747
16180,Lidianny Echeverria Benitez,Cuba,0.55,W,False,False,False,1.0,36.5,71.0,26.0,0.22580261307195115
16187,Vladislav Mikhalev,Russia,0.0,M,False,False,False,2.0,39.0,72.0,23.0,-0.5262407758635275
16188,Anton Saraev,Russia,0.0,M,False,False,False,2.0,30.0,75.096018735363,24.0,-0.5093244152364761
16191,Eleonora Gili,Italy,0.0,W,False,False,False,1.0,33.0,70.00311958405545,34.0,-0.561342239563126
16192,Ievgeniia Shchypkova Baieva,Ukraine,0.05,W,False,False,False,1.0,38.0,72.0,35.0,0.8221609364043034
16193,Benjamin Ihlefeld,United States,0.0,M,False,False,False,1.0,51.0,75.096018735363,29.0,-0.39667106955596254
16197,Carissa Whalen,United States,0.0,W,False,False,False,6.0,45.0,70.00311958405545,30.0,-0.23834361177627694
16198,Kyle Neely,United States,0.0,M,False,False,False,2.0,47.5,80.0,32.0,-0.5151392794654415
16199,Timmy Epps,United States,0.0,M,False,False,False,2.0,35.5,75.096018735363,34.0,-0.5787874481886897
16200,Douglas Battersby,United States,0.0,M,False,False,False,1.0,37.5,75.096018735363,31.0,-0.6026818922659666
