BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
20460,Valentina Gottardi,Italy,0.18,W,True,False,True,2.0,40.0,72.0,20.0,0.5220539740951601
20467,Nele Schmitt,Germany,0.25,W,False,False,False,3.0,35.0,73.0,21.0,-0.3783273736777286
20471,Mirto Kalamaridou,Greece,0.0,W,False,False,False,1.0,42.0,71.0,26.0,-0.02635994797028772
20472,Hulda Rudberg,Sweden,0.0,W,False,False,False,2.0,34.0,70.00311958405545,23.0,-0.5031392958146853
20476,Iveta Stanchulova,Bulgaria,0.0,W,False,False,False,2.0,28.0,73.0,25.0,-0.5533070760545433
20482,Jasmine Fiechter,Switzerland,0.0,W,False,False,False,1.0,36.0,70.00311958405545,22.0,-0.5007604037293811
20483,Anna Saveleva,Russia,0.0,W,False,False,False,1.0,33.0,70.00311958405545,21.0,-0.6114044965787484
20484,Adrienn Szabó,Hungary,0.0,W,False,False,False,2.0,29.5,70.00311958405545,27.0,-0.5246548478066582
20485,Yoana Kalfinova,Bulgaria,0.0,W,False,False,False,2.0,29.0,70.0,31.0,-0.5047252238715547
20490,Vili Tsenova,Bulgaria,0.0,W,False,False,False,1.0,29.0,70.00311958405545,26.0,-0.5349633801763094
20491,Raya Tsenova,Bulgaria,0.0,W,False,False,False,1.0,29.0,70.00311958405545,26.0,-0.5349633801763094
20492,Iva Partaleva,Bulgaria,0.0,W,False,False,False,1.0,37.0,70.00311958405545,32.0,-0.6090256044934443
20495,Kathryn Barbour,Scotland,0.0,W,False,False,False,1.0,32.5,69.0,27.0,-0.5604437523104557
20501,Farida El Askalany,Egypt,0.0,W,False,False,False,1.0,35.0,72.0,27.0,-0.5740296640180814
20502,Bjorna Gras,Netherlands,0.0,W,False,False,False,1.0,42.0,70.00311958405545,27.0,-0.609818568521879
20503,Janick Schaltegger,Switzerland,0.0,W,False,False,False,1.0,35.0,70.00311958405545,25.0,-0.279577741254882
20507,Marine Kinna,France,0.0,W,False,False,False,1.0,34.0,71.0,23.0,-0.0851954151254744
20508,Thelma Dogg Gretarsdottir,Iceland,0.0,W,False,False,False,1.0,28.5,70.0,25.0,-0.5564789321682821
20509,Jona Gudlaug Vigfusdottir,Iceland,0.0,W,False,False,False,1.0,28.5,73.0,33.0,-0.5564789321682821
20510,Anneka Hastings,Denmark,0.0,W,False,False,False,1.0,34.0,71.0,37.0,-0.6026818922659666
20511,Alice Zeimann,New Zealand,0.12,W,False,False,False,1.0,40.0,72.0,24.0,0.09570467470454125
